Number	Decade	Country	Source	File
30584931	1983	USA	Poochie Magazine Advert	026badc4a8e256570a7d315a97dbd1b0.jpg
30584930	1980s	USA	Barbie Magazine Advert	e209155199b9f4572ed26c3af490e401.jpg
30584929	1986	USA	Barbie Magazine Advert	ae0da4a4eb21ba9860924939c20b49c9.jpg
30584926	1980s	USA	Maxwell Magazine Advert	138af444766dc027c9fd9e870470036b.jpg
30584921	1980s	USA	Yves Saint Laurent Magazine Advert	0d96ce475ca78d8f65cd4f99626b0c83.jpg
30584920	1980s	USA	Chanel Magazine Advert	b4089099ee00d6245a5dd2ea8e347caf.jpg
30584919	1985	USA	Macy's Magazine Advert	4d525a94ba85ba7b9b08495c34a0828d.jpg
30584917	1980s	USA	Faberge Magazine Advert	5155ebb986f832b54df543539d58fd7d.jpg
30584916	1985	USA	Musk Magazine Advert	4aa9d869c94ac51ae2553a28a26b1459.jpg
30584913	1982	USA	Adidas Magazine Advert	0c7d6df1e119ac5b4b802c75fa1df12d.jpg
30584910	1980s	USA	Calvin Klein Magazine Advert	796f50316e892768590112950366fea5.jpg
30584907	1980	USA	Kraft Magazine Advert	6131d7bb5c90ac7ef10e4884702add51.jpg
30584901	1983	USA	Windjammer Barefoot Cruises...	4944aef7d7dda086e2cde0e89fc475ae.jpg
30584813	1990s	USA	Winston Magazine Advert	bf205f1a4ce05348e3003b14678c03ed.jpg
30584808	1990s	USA	Guess Magazine Advert	f27cf5700c6f594f85016f340d8cc7c7.jpg
30584807	1990s	USA	Hanes Magazine Advert	ca86132c4b676469f1327ee18feeff9c.jpg
30584805	1990	USA	Nike Magazine Advert	b42456ba069c334bbc25dfc18332219f.jpg
30584799	1998	USA	Guess Magazine Advert	bd20c21800a674847dd34bc45d19cdcf.jpg
30584797	1990s	USA	Versace Magazine Advert	5f96f4505f129dc39c73539aa67142eb.jpg
30584795	1994	USA	Calvin Klein Magazine Advert	5d1fd78fec0c905ba4b1e46555d52d22.jpg
30584790	1997	USA	Tommy Hilfiger Magazine Advert	849b0be62f0c15c99aed15108eb7f1fc.jpg
30584786	1990s	USA	Sony Magazine Advert	2aad4009bb90df905a85c0cebacc6bf3.jpg
30584781	1998	USA	Nokia Magazine Advert	9896a80697a5a288ac2d751a687dbc50.jpg
30584780	1990s	USA	Palm Magazine Advert	0a5b1d8157bcd2f51f007649b902ec7f.jpg
30584778	1998	USA	Intel Magazine Advert	cc951215831112a5077bc07a5f76740f.jpg
30584767	1990s	USA	Calvin Klein Magazine Advert	21ae69c1f09fb794aeac6110b4e37eaf.jpg
30584766	1990s	USA	Dior Magazine Advert	0e0475e3acc6ac55db0181df2975fa52.jpg
30584765	1990s	USA	Clinique Magazine Advert	078bf47497fa4b9dbd4aa8b583a4d0c2.jpg
30584763	1990s	USA	The Home Depot Magazine Advert	9f6f145e0db767b253f4cb9baf8a3be0.jpg
30584759	1999	USA	Tomb Raider Magazine Advert	e5fb75323134e24c324a8175228b778c.jpg
30584757	1998	USA	Lycos Magazine Advert	61e563b3385325ad327cf07bb071052c.jpg
30584751	1999	USA	Apple Magazine Advert	bbf18f590317e2ba71bb0ae62c45e250.jpg
30584748	1999	USA	Apple Magazine Advert	828a579ed5a4012053fe3cf9e8e1a55a.jpg
30584743	1991	USA	Carefree Magazine Advert	e46d37193ff992eee783a3c3e2dd8745.jpg
30584742	1999	USA	Durex Magazine Advert	12c1e1e2f5b1d1cac4dc96ed4bf395e6.jpg
30584740	1990s	USA	Viagra Magazine Advert	3e303b18ae839872aff6561a050668e2.jpg
30584739	1999	USA	SKYY vodka Magazine Advert	dfc9792aa2523508405828ba3035fc2d.jpg
30584738	1996	USA	Donna Karan Magazine Advert	c2f08965078609eecb961fc4c08de619.jpg
30584737	1999	USA	Hugo Boss Magazine Advert	b3624514339e7663048cb366bbb2ac7b.jpg
30584736	1996	USA	British Airwaves Magazine Advert	0afc5c8b9fb53648e2c68a2bfb4ca4de.jpg
30584734	1999	USA	United Airlines Magazine Advert	3ea311426d250ae4383aae1e7c523b84.jpg
30584733	1990	USA	Budweiser Magazine Advert	e5c03c0a4b72adeaf6cc9eea20316406.jpg
30584731	1999	USA	Domaine Chandon Magazine Advert	4741dffa7073ab1e3c0337dc08829373.jpg
30584730	1990s	USA	7up Magazine Advert	3357e401ffb0d9ef597bcf3e0bd4c06b.jpg
30584728	1990s	USA	Kahlua Magazine Advert	e3b1e9f388595fe1250c6abe428db878.jpg
30584727	1990	USA	Miller Magazine Advert	61855a8945aa9f680216ce3f31a450d5.jpg
30584725	1990s	USA	Magazine Advert	56fcc946a6f8dd15eaee207d4995cf38.jpg
30584720	1993	USA	Drum Magazine Advert	d436a729f3969df9dc4282d5a05072df.jpg
30584704	1999	USA	Barbie Magazine Advert	9966346906a7b90d899f21765fbd513c.jpg
30584702	1996	USA	Drug Free America Magazine Advert	566a2306c6bafff4c86e4ccd2bd6884e.jpg
30584698	1999	USA	Endust Magazine Advert	fc332c4b3dbee478644fc8ed1274030c.jpg
30584696	1995	USA	Bold Magazine Advert	a96c3b5251921d440d3c04091b9002ee.jpg
30584695	1999	USA	Versace Magazine Advert	a8f5945fa275e8fc7a1bd29c9e2ce927.jpg
30584692	1990s	USA	Casio Magazine Advert	106b8a75ddb2dbfbc4162841000537f0.jpg
30584690	1997	USA	American Girls Company Magazine...	233d9f6fc1e46e467d241e2ff295c771.jpg
30584688	1997	USA	Libbey Magazine Advert	dad974c3833cfbfeeb7ba4bfc62e3797.jpg
30584687	1997	USA	Bic Magazine Advert	fa6bd114fa2e5481e91f489cbb3bc340.jpg
30584686	1997	USA	Crane & Co Magazine Advert	a0d0d77724f17d9fc2ecb1d93b6bd302.jpg
30584685	1997	USA	JanSport Magazine Advert	07b8b10a779e6449bc878bc0b808057e.jpg
30584684	1997	USA	Bic Magazine Advert	4b8c56a1c9c26bf93bd4d82e3232d145.jpg
30584681	1992	USA	Rollerblade Magazine Advert	5e3c3e69cf4815646b36823216beca45.jpg
30584680	1990s	USA	Rollerblade Magazine Advert	de4050b0d2d5df026aa8fa4f1b4abaaa.jpg
30584679	1999	USA	Concord Magazine Advert	1c0ae1c6c775bc705c9a219ffce8d26b.jpg
30584384	1946	USA	Budweiser Magazine Advert	1cb3113a46dedb2d6e18847354bb0e41.jpg
30584383	1945	USA	Pacific Sheets Magazine Advert	58ee90f7d3192b9682fb2bbe36ee1be5.jpg
30584382	1945	USA	Maxwell House Magazine Advert	66b3b9c224f39f72e748d512c0299e22.jpg
30584381	1945	USA	Maxwell House Magazine Advert...	93d5943a3092fac1c2293533be3571a3.jpg
30584380	1945	USA	Community Magazine Advert	4ec92610a6796d5f22fc7b036b16720c.jpg
30584379	1945	USA	Pabst Magazine Advert	693959bc6aa4775ca5514b0829c8396a.jpg
30584378	1946	USA	The International Silver Company...	aa8cb5a8f2150a58440121af3a25f1cf.jpg
30584377	1946	USA	The International Silver Company...	0d01d1e5d2bbcf41204780199e82a350.jpg
30584373	1945	USA	Pullman Magazine Advert (detail)	49f5db8e8b3ef4eb4f437eeea4edaf07.jpg
30584372	1945	USA	Columbia  Magazine Advert	ecc40d11934051fd2b005df8e09d3746.jpg
30584371	1945	USA	Columbia Magazine Advert (detail)	61af68d296acd7ecc2be12880a590449.jpg
30584370	1940s	USA	Pacific Sheets Magazine Advert	104915d80b7571e82425f16ddc4156cc.jpg
30584369	1940s	USA	Pacific Sheets Magazine Advert...	555be366978a4abbab80d1751d93f286.jpg
30584180	1945	USA	Aluminium Company of America...	82bab1d4228c2915fb5ee77d306d6887.jpg
30584172	1945	USA	Town & Country Shoes Magazine...	36e71da6bc16a7c2515e72f50dc43ba3.jpg
30584171	1945	USA	Milliken Magazine Advert	bb6aa01e0270d14507e446a0dbb59810.jpg
30584164	1943	USA	Rheingold Magazine Advert	36d18a103edf2cdfde3a85bc6e6e3e27.jpg
30584159	1946	USA	Bonwit Teller & Co Magazine Advert	d77079ba921a504bbac8095e13bc9249.jpg
30584158	1946	USA	Rheingold Magazine Advert	31e3d9ca9ed4fd54f3dbd2ae6f7b146c.jpg
30584156	1946	USA	Rheingold Magazine Advert	b199a7a5a5fa97804c5b076d88223ff4.jpg
30584152	1945	USA	Fischer Magazine Advert	b57d7b43228eef0f7420868124a75db8.jpg
30584151	1945	USA	Helena Rubenstein Magazine Advert	7be894bc5ff6d3bdb5c2c05ba1d0d066.jpg
30584149	1945	USA	Lucky Strike Magazine Advert	9a107f093f25c546e7d3d4dcbd8a5419.jpg
30584144	1945	USA	Peck & Peck Magazine Advert	6bfc78073c7dce9a562f2872bd87312f.jpg
30584142	1945	USA	Rheingold Magazine Advert	d9053555bdc6b20609721b53a9f7435c.jpg
30584141	1945	USA	Bianchini-Férier Magazine Advert	d43e1036d36ef060ebaa381f4d254337.jpg
30584140	1945	USA	McCall's Magazine Advert	97e9edf032ae5b3b16da031c8a98f076.jpg
30584139	1945	USA	Textron Magazine Advert	4ac00cf21c98292d591a33c1af184107.jpg
30584137	1945	USA	Florists' Telegraph Delivery...	329ed7cc1af32832aed6c7163734a6dd.jpg
30584136	1945	USA	Bonwit Teller & Co Magazine Advert	422aa6eefb57c7ca5aa5fdd7b5e2de8c.jpg
30584132	1945	USA	Revlon Magazine Advert	fd1043fb6555452a9e8f7715aad9aa8d.jpg
30584131	1938	USA	Caron Magazine Advert	59d6af8d77cc8a11cb445b638e1ab9df.jpg
30584130	1938	USA	Du Pont Magazine Advert	1bc57f0dc30a194147502132bc0843b3.jpg
30584035	1949	USA	Yardley Magazine Advert	f4037df68c8a5f4d7056a211bfaacadc.jpg
30584034	1949	USA	Peck & Peck Magazine Advert	71fea69f9c8ad8010580e943aa05bd0c.jpg
30584033	1949	USA	Lincoln Magazine Advert	89602aa216df4a0f0f4b9c86d4c2d20b.jpg
